,site_id,crew_name,date,year,transect_num,point_num,gps_lon,gps_lat,coord_qual,water_depth_cm,bottom_vis,substrate_type,org_depth_cm,unvegetated_pcnt,total_cover_pcnt,standing_dead_pcnt,detritus_pcnt,variable,Hydrocharis morsus-ranae,Phragmites australis (invasive),Phragmites australis (native),Schoenoplectus acutus,Typha angustifolia,Typha glauca,Typha latifolia,Typha sp.,typha_combined
1,421,CMU,8/20/2014,2014,1,6,-83.166073,42.089445,Excellent,2,V,Pb/Cb/Bld,0,0,100,40,90,percent_cover,0,100,0,0,0,0,0,0,0
2,421,CMU,8/20/2014,2014,1,7,-83.166075,42.089415,Excellent,3,V,Pb/Cb/Bld,0,5,95,35,80,percent_cover,5,90,0,0,0,0,0,0,0
3,421,CMU,8/20/2014,2014,1,8,-83.166101,42.08939,Excellent,20,V,Pb/Cb/Bld,0,0,100,40,75,percent_cover,0,100,0,0,0,0,0,0,0
4,421,CMU,8/20/2014,2014,1,9,-83.16612,42.089355,Excellent,30,V,Pb/Cb/Bld,0,0,100,40,55,percent_cover,5,95,0,0,0,0,0,0,0
5,421,CMU,8/20/2014,2014,1,10,-83.166151,42.089339,Excellent,30,V,Pb/Cb/Bld,0,0,100,40,60,percent_cover,0,100,0,0,0,0,0,0,0
6,421,CMU,8/20/2014,2014,2,6,-83.165463,42.08992,Excellent,0,Dry,Pb/Cb/Bld,0,0,100,30,25,percent_cover,0,100,0,0,0,0,0,0,0
7,421,CMU,8/20/2014,2014,2,7,-83.165433,42.089906,Excellent,0,Dry,Pb/Cb/Bld,0,0,100,35,35,percent_cover,0,100,0,0,0,0,0,0,0
8,421,CMU,8/20/2014,2014,2,8,-83.165446,42.089906,Excellent,0,Dry,Pb/Cb/Bld,0,0,100,30,40,percent_cover,0,100,0,0,0,0,0,0,0
9,421,CMU,8/20/2014,2014,2,9,-83.165439,42.089901,Excellent,0,Dry,Pb/Cb/Bld,0,0,100,35,25,percent_cover,0,100,0,0,0,0,0,0,0
10,421,CMU,8/20/2014,2014,2,10,-83.165442,42.089902,Excellent,30,V,Pb/Cb/Bld,5,0,100,35,80,percent_cover,0,100,0,0,0,0,0,0,0
11,421,CMU,8/20/2014,2014,3,6,-83.164391,42.091454,Excellent,0,Dry,Pb/Cb/Bld,0,0,100,35,100,percent_cover,0,100,0,0,0,0,0,0,0
12,421,CMU,8/20/2014,2014,3,7,-83.164386,42.091457,Excellent,0,Dry,Pb/Cb/Bld,0,0,100,35,90,percent_cover,0,100,0,0,0,0,0,0,0
13,421,CMU,8/20/2014,2014,3,8,-83.1644,42.091472,Excellent,15,V,Pb/Cb/Bld,0,0,100,30,80,percent_cover,0,100,0,0,0,0,0,0,0
14,421,CMU,8/20/2014,2014,3,9,-83.164395,42.091469,Excellent,22,V,Pb/Cb/Bld,0,0,100,15,80,percent_cover,0,80,0,0,0,20,0,0,20
15,421,CMU,8/20/2014,2014,3,10,-83.164391,42.091468,Excellent,45,V,Pb/Cb/Bld,0,0,100,5,15,percent_cover,0,25,0,0,0,60,0,0,60
16,421,CMU,7/9/2019,2019,1,1,-83.165882,42.091167,Confirmed,0,Dry,Cly/Slt,0,60,40,0.5,85,percent_cover,0,0.5,0,0,0,0,0,0,0
17,421,CMU,7/9/2019,2019,1,2,-83.165872,42.091156,Confirmed,0,Dry,Wood,0,72,28,0.5,100,percent_cover,0,4,0,0,0,0,0,0,0
18,421,CMU,7/9/2019,2019,1,3,-83.165856,42.091171,Confirmed,0,Dry,Wood,0,75,25,5,100,percent_cover,0,1,0,0,0,0,0,0,0
19,421,CMU,7/9/2019,2019,1,4,-83.165831,42.091175,Confirmed,0,Dry,Wood,0,25,75,1,100,percent_cover,0,25,0,0,0,0,0,0,0
20,421,CMU,7/9/2019,2019,1,5,-83.165792,42.091151,Confirmed,24,V,Cly/Slt,3,22,78,5,100,percent_cover,0,75,0,0,0,0,0,0,0
21,421,CMU,7/9/2019,2019,1,6,-83.165665,42.091054,Confirmed,76,NV,Cly/Slt,6,2,98,3,100,percent_cover,95,15,0,0,0,0,0,0,0
22,421,CMU,7/9/2019,2019,1,7,-83.16555,42.090954,Confirmed,76,NV,Cly/Slt,6,5,95,6,100,percent_cover,93,14,0,0,0,0,0,0,0
23,421,CMU,7/9/2019,2019,1,8,-83.165444,42.090828,Confirmed,75,NV,Cly/Slt,12,45,55,2,100,percent_cover,54,0.5,0,0,0,0,0,0,0
24,421,CMU,7/9/2019,2019,1,9,-83.165271,42.090762,Confirmed,79,NV,Cly/Slt,10,68,32,1,100,percent_cover,29,1,0,0,0,0,0,0,0
25,421,CMU,7/9/2019,2019,1,10,-83.16514,42.090697,Confirmed,73,V,Cly/Slt,7,35,65,5,100,percent_cover,0.5,65,0,0,0,0,0,0,0
26,421,CMU,7/9/2019,2019,2,6,-83.166941,42.089759,Confirmed,59,NV,Cly/Slt,6,5,95,7,100,percent_cover,0,95,0,0,0,0,0,0,0
27,421,CMU,7/9/2019,2019,2,7,-83.166798,42.089661,Confirmed,84,NV,Cly/Slt,4,8,92,12,100,percent_cover,8.5,45,0,0,0,0,0,0,0
28,421,CMU,7/9/2019,2019,2,8,-83.166642,42.089576,Confirmed,95,V,Cly/Slt,4,8,92,15,100,percent_cover,70,80,0,0,0,0,0,0,0
29,421,CMU,7/9/2019,2019,2,9,-83.166504,42.089488,Confirmed,104,V,Cly/Slt,4,30,70,2,100,percent_cover,68,0,0,0,0,0,0,0,0
30,421,CMU,7/9/2019,2019,2,10,-83.166333,42.089412,Confirmed,95,V,Cly/Slt,10,0,100,5,100,percent_cover,33,98,0,0,0,0,0,0,0
31,421,CMU,7/8/2019,2019,3,6,-83.164722,42.091784,Confirmed,44,NV,Sand,2,10,90,25,100,percent_cover,0,80,0,0,0,0,0,0,0
32,421,CMU,7/8/2019,2019,3,7,-83.164833,42.09176,Confirmed,76,NV,Sand,4,73,27,7,90,percent_cover,8,4,0,0,0,0,0,0,0
33,421,CMU,7/8/2019,2019,3,8,-83.164911,42.091718,Confirmed,76,NV,Cly/Slt,10,67,33,10,98,percent_cover,27,1,0,0,0,0,0,0,0
34,421,CMU,7/8/2019,2019,3,9,-83.165023,42.091683,Confirmed,84,NV,Cly/Slt,6,66,34,100,25,percent_cover,30,5,0,0,0,0,0,0,0
35,421,CMU,7/8/2019,2019,3,10,-83.165159,42.091651,Confirmed,90,NV,Cly/Slt,35,25,75,35,95,percent_cover,0,75,0,0,0,0,0,0,0
36,421,CMU,7/8/2019,2019,3,11,-83.1653,42.091553,Confirmed,112,V,Cly/Slt,5,72,28,0,75,percent_cover,5,0.5,0,0,0,0,0,0,0
37,421,CMU,7/8/2019,2019,3,12,-83.165386,42.091565,Confirmed,111,V,Cly/Slt,14,68,32,0,100,percent_cover,20,2,0,0,0,0,0,0,0
38,421,CMU,7/8/2019,2019,3,13,-83.165464,42.091543,Confirmed,120,NV,Sand,12,2,98,0,100,percent_cover,5,0,0,0,0,0,0,0,0
39,421,CMU,7/8/2019,2019,3,14,-83.165559,42.091517,Confirmed,110,V,Cly/Slt,20,60,40,0,100,percent_cover,1,0,0,0,0,0,0,0,0
40,421,CMU,7/8/2019,2019,3,15,-83.165652,42.091515,Confirmed,101,NV,Cly/Slt,10,94.5,5.5,0,100,percent_cover,1,0,0,0,0,0,0,0,0
41,422,OSU,7/14/2011,2011,1,6,-83.151685,42.100552,Excellent,0,Dry,Cly/Slt,5,44,56,20,70,percent_cover,0,0,0,0,0,12,0,0,12
42,422,OSU,7/14/2011,2011,1,7,-83.151619,42.100578,Excellent,1,V,Cly/Slt,3,32,68,35,70,percent_cover,0,0,0,0,0,40,0,0,40
43,422,OSU,7/14/2011,2011,1,8,-83.151547,42.100603,Excellent,25,V,Cly/Slt,2,65,35,10,85,percent_cover,0,0,0,0,0,25,0,0,25
44,422,OSU,7/14/2011,2011,1,9,-83.151496,42.100609,Excellent,35,V,Cly/Slt,2,64,36,40,65,percent_cover,0,0,0,0,0,35,0,0,35
45,422,OSU,7/14/2011,2011,1,10,-83.151402,42.10062,Excellent,52,V,Cly/Slt,1,87,13,5,90,percent_cover,0,0,0,0,0,12,0,0,12
46,422,OSU,7/14/2011,2011,2,6,-83.151601,42.099935,Excellent,30,V,Cly/Slt,2,59,41,6,75,percent_cover,0,0,0,0,0,40,0,0,40
47,422,OSU,7/14/2011,2011,2,7,-83.151526,42.099952,Excellent,30,V,Cly/Slt,1,4,96,5,80,percent_cover,65,1,0,0,0,25,0,0,25
48,422,OSU,7/14/2011,2011,2,8,-83.151454,42.099952,Excellent,38,V,Cly/Slt,1,13,87,2,90,percent_cover,75,0,0,0,0,10,0,0,10
49,422,OSU,7/14/2011,2011,2,9,-83.151379,42.099957,Excellent,40,V,Cly/Slt,1,0,100,10,80,percent_cover,80,0,0,0,0,25,0,0,25
50,422,OSU,7/14/2011,2011,2,10,-83.151306,42.099966,Excellent,40,V,Cly/Slt,1,62,38,15,90,percent_cover,25,0,0,0,0,5,0,0,5
51,422,OSU,7/14/2011,2011,3,1,-83.152574,42.097531,Excellent,0,Dry,Cly/Slt,1,10,90,2,65,percent_cover,0,90,0,0,0,0,0,0,0
52,422,OSU,7/14/2011,2011,3,2,-83.152569,42.097501,Excellent,3,V,Cly/Slt,1,25,75,6,75,percent_cover,0,75,0,0,0,0,0,0,0
53,422,OSU,7/14/2011,2011,3,3,-83.152568,42.09747,Excellent,12,V,Cly/Slt,1,0,100,3,75,percent_cover,0,90,0,0,0,0,0,0,0
54,422,OSU,7/14/2011,2011,3,4,-83.152556,42.097442,Excellent,25,V,Cly/Slt,1,0,100,15,75,percent_cover,20,80,0,0,0,3,0,0,3
55,422,OSU,7/14/2011,2011,3,5,-83.152552,42.097416,Excellent,30,V,Cly/Slt,1,0,100,15,70,percent_cover,20,45,0,0,0,35,0,0,35
56,422,OSU,7/14/2011,2011,3,6,-83.152544,42.097409,Excellent,40,V,Cly/Slt,1,0,100,1,80,percent_cover,85,1,0,0,0,35,0,0,35
57,422,OSU,7/14/2011,2011,3,7,-83.152523,42.097353,Excellent,40,V,Cly/Slt,1,23,87,1,99,percent_cover,85,0,0,0,0,1,0,0,1
58,422,OSU,7/14/2011,2011,3,8,-83.15252,42.097317,Excellent,42,V,Cly/Slt,1,15,85,5,85,percent_cover,30,0,0,0,0,40,0,0,40
59,422,OSU,7/14/2011,2011,3,9,-83.152535,42.097275,Excellent,53,V,Cly/Slt,1,13,87,2,85,percent_cover,0,0,0,0,0,30,0,0,30
60,422,OSU,7/14/2011,2011,3,10,-83.152523,42.097259,Excellent,80,V,Cly/Slt,1,0,100,0.5,60,percent_cover,0,0,0,0,0,85,0,0,85
61,427,CMU,7/16/2015,2015,1,1,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0,55,45,15,45,percent_cover,0,40,0,0,0,0,0,0,0
62,427,CMU,7/16/2015,2015,1,2,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0,40,60,15,40,percent_cover,0,40,0,0,0,0,0,0,0
63,427,CMU,7/16/2015,2015,1,3,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0,50,50,25,50,percent_cover,0,50,0,0,0,0,0,0,0
64,427,CMU,7/16/2015,2015,1,4,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0,60,40,10,50,percent_cover,0,35,0,0,0,0,0,0,0
65,427,CMU,7/16/2015,2015,1,5,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0,0,100,15,40,percent_cover,0,15,0,0,0,0,0,0,0
66,427,CMU,7/16/2015,2015,2,1,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0.5,25,75,5,60,percent_cover,0,40,0,0,0,0,0,0,0
67,427,CMU,7/16/2015,2015,2,2,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0.5,40,60,3,40,percent_cover,0,5,0,0,0,0,0,0,0
68,427,CMU,7/16/2015,2015,2,3,NA,NA,Missing,0,Dry,Pb/Cb/Bld,0.5,15,85,5,90,percent_cover,0,25,0,0,0,0,0,0,0
69,427,CMU,7/16/2015,2015,2,4,NA,NA,Missing,0,Dry,Pb/Cb/Bld,1,30,70,40,90,percent_cover,0,55,0,0,0,0,0,0,0
70,427,CMU,7/16/2015,2015,2,5,NA,NA,Missing,0,Dry,Pb/Cb/Bld,2,35,65,40,90,percent_cover,0,65,0,0,0,0,0,0,0
71,427,CMU,7/16/2015,2015,2,6,NA,NA,Missing,35,V,Pb/Cb/Bld,0,55,45,30,5,percent_cover,0,45,0,0,0,0,0,0,0
72,427,CMU,7/16/2015,2015,2,7,NA,NA,Missing,23,V,Pb/Cb/Bld,0,80,20,60,5,percent_cover,0,20,0,0,0,0,0,0,0
73,427,CMU,7/16/2015,2015,2,8,NA,NA,Missing,23,V,Pb/Cb/Bld,0,60,40,50,5,percent_cover,0,40,0,0,0,0,0,0,0
74,427,CMU,7/16/2015,2015,2,9,NA,NA,Missing,15,V,Pb/Cb/Bld,0,90,10,7,5,percent_cover,0,10,0,0,0,0,0,0,0
75,427,CMU,7/16/2015,2015,2,10,NA,NA,Missing,35,V,Pb/Cb/Bld,0,70,30,10,5,percent_cover,0,30,0,0,0,0,0,0,0
76,427,CMU,7/16/2015,2015,3,6,NA,NA,Missing,78,V,Pb/Cb/Bld,0,0,100,25,3,percent_cover,0,40,0,0,0,0,0,0,0
77,427,CMU,7/16/2015,2015,3,7,NA,NA,Missing,85,V,Pb/Cb/Bld,0,0,100,25,35,percent_cover,0,55,0,0,0,0,0,0,0
78,427,CMU,7/16/2015,2015,3,8,NA,NA,Missing,80,V,Pb/Cb/Bld,0,0,100,25,20,percent_cover,0,55,0,0,0,0,0,0,0
79,427,CMU,7/16/2015,2015,3,9,NA,NA,Missing,70,V,Pb/Cb/Bld,0,0,100,10,3,percent_cover,0,30,0,0,0,0,0,0,0
80,427,CMU,7/16/2015,2015,3,10,NA,NA,Missing,45,V,Pb/Cb/Bld,0,0,100,8,40,percent_cover,0,20,0,0,0,0,0,0,0
